id	category	item	source_marker	curriculum_level	gaokao_treatment	printed_page	pdf_page	notes
G001	parts_of_speech.noun	可数名词及其单、复数		mandatory_continued	formal_core	179	187	
G002	parts_of_speech.noun	不可数名词		mandatory_continued	formal_core	179	187	
G003	parts_of_speech.noun	专有名词		mandatory_continued	formal_core	179	187	
G004	parts_of_speech.noun	名词所有格		mandatory_continued	formal_core	179	187	
G005	parts_of_speech.verb	动词的基本形式		mandatory_continued	formal_core	179	187	
G006	parts_of_speech.verb	及物动词和不及物动词		mandatory_continued	formal_core	179	187	
G007	parts_of_speech.verb	系动词		mandatory_continued	formal_core	179	187	
G008	parts_of_speech.verb	助动词		mandatory_continued	formal_core	179	187	
G009	parts_of_speech.verb	情态动词		mandatory_continued	formal_core	179	187	
G010	parts_of_speech.adjective	形容词的基本形式		mandatory_continued	formal_core	179	187	
G011	parts_of_speech.adjective	形容词的比较级和最高级		mandatory_continued	formal_core	179	187	
G012	parts_of_speech.adverb	副词的基本形式		mandatory_continued	formal_core	179	187	
G013	parts_of_speech.adverb	副词的比较级和最高级		mandatory_continued	formal_core	179	187	
G014	parts_of_speech.pronoun	人称代词		mandatory_continued	formal_core	180	188	
G015	parts_of_speech.pronoun	物主代词		mandatory_continued	formal_core	180	188	
G016	parts_of_speech.pronoun	反身代词		mandatory_continued	formal_core	180	188	
G017	parts_of_speech.pronoun	指示代词		mandatory_continued	formal_core	180	188	
G018	parts_of_speech.pronoun	不定代词		mandatory_continued	formal_core	180	188	
G019	parts_of_speech.pronoun	疑问代词		mandatory_continued	formal_core	180	188	
G020	parts_of_speech.numeral	基数词		mandatory_continued	formal_core	180	188	
G021	parts_of_speech.numeral	序数词		mandatory_continued	formal_core	180	188	
G022	parts_of_speech.preposition	介词		mandatory_continued	formal_core	180	188	
G023	parts_of_speech.conjunction	连词		mandatory_continued	formal_core	180	188	
G024	parts_of_speech.article	冠词		mandatory_continued	formal_core	180	188	
G025	parts_of_speech.interjection	感叹词		mandatory_continued	formal_core	180	188	
