sequence	entry	source_marker	curriculum_level	printed_page	pdf_page
1	a (an)		prior_to_high_school	121	129
2	abandon	**	selective_required	121	129
3	ability		prior_to_high_school	121	129
4	able		prior_to_high_school	121	129
5	abnormal	**	selective_required	121	129
6	aboard	**	selective_required	121	129
7	about		prior_to_high_school	121	129
8	above		prior_to_high_school	121	129
9	abroad		prior_to_high_school	121	129
10	absence	**	selective_required	121	129
11	absent		prior_to_high_school	121	129
12	absolutely	*	high_school_required	121	129
13	absorb	**	selective_required	121	129
14	abstract	**	selective_required	121	129
15	abuse	**	selective_required	121	129
16	academic	**	selective_required	121	129
17	accent	**	selective_required	122	130
18	accept		prior_to_high_school	122	130
19	access	**	selective_required	122	130
20	accident	*	high_school_required	122	130
21	accommodation	**	selective_required	122	130
22	accompany	**	selective_required	122	130
23	according to		prior_to_high_school	122	130
24	account	*	high_school_required	122	130
25	accurate	**	selective_required	122	130
26	accuse	**	selective_required	122	130
27	ache	*	high_school_required	122	130
28	achieve		prior_to_high_school	122	130
29	achievement	*	high_school_required	122	130
30	acid	**	selective_required	122	130
31	acknowledge	**	selective_required	122	130
32	acquire	*	high_school_required	122	130
33	across		prior_to_high_school	122	130
34	act		prior_to_high_school	122	130
35	action		prior_to_high_school	122	130
36	active		prior_to_high_school	122	130
37	activity		prior_to_high_school	122	130
38	actor		prior_to_high_school	122	130
39	actress		prior_to_high_school	122	130
40	actually	*	high_school_required	122	130
41	AD	**	selective_required	122	130
42	adapt	*	high_school_required	122	130
43	adaptation	**	selective_required	122	130
44	add		prior_to_high_school	122	130
45	addict	*	high_school_required	122	130
46	addition	*	high_school_required	122	130
47	address		prior_to_high_school	122	130
48	adjust	**	selective_required	122	130
49	administration	**	selective_required	122	130
50	admire	*	high_school_required	122	130
51	admit	*	high_school_required	122	130
52	adopt	**	selective_required	122	130
53	adorable	**	selective_required	122	130
54	adult	*	high_school_required	122	130
55	advance	*	high_school_required	122	130
56	advantage		prior_to_high_school	122	130
57	adventure	*	high_school_required	122	130
58	advertise	**	selective_required	122	130
59	advertisement (ad)	**	selective_required	122	130
60	advice		prior_to_high_school	122	130
61	advise		prior_to_high_school	122	130
62	advocate	**	selective_required	122	130
63	affair	*	high_school_required	122	130
64	affect	**	selective_required	122	130
65	afford		prior_to_high_school	122	130
66	afraid		prior_to_high_school	122	130
67	Africa		prior_to_high_school	122	130
68	African		prior_to_high_school	122	130
69	after		prior_to_high_school	122	130
70	afternoon		prior_to_high_school	122	130
71	afterward	**	selective_required	122	130
72	again		prior_to_high_school	122	130
73	against		prior_to_high_school	123	131
74	age		prior_to_high_school	123	131
75	agency	**	selective_required	123	131
76	agenda	**	selective_required	123	131
77	ago		prior_to_high_school	123	131
78	agree		prior_to_high_school	123	131
79	agreement		prior_to_high_school	123	131
80	agriculture	*	high_school_required	123	131
81	ahead	*	high_school_required	123	131
82	aid	*	high_school_required	123	131
83	aim	*	high_school_required	123	131
84	air		prior_to_high_school	123	131
85	airline	**	selective_required	123	131
86	airport		prior_to_high_school	123	131
87	alarm	*	high_school_required	123	131
88	alcohol	**	selective_required	123	131
89	alive		prior_to_high_school	123	131
90	all		prior_to_high_school	123	131
91	allow		prior_to_high_school	123	131
92	almost		prior_to_high_school	123	131
93	alone		prior_to_high_school	123	131
94	along		prior_to_high_school	123	131
95	alongside	**	selective_required	123	131
96	aloud		prior_to_high_school	123	131
97	already		prior_to_high_school	123	131
98	also		prior_to_high_school	123	131
99	alternative	**	selective_required	123	131
100	although		prior_to_high_school	123	131
101	altogether	**	selective_required	123	131
102	always		prior_to_high_school	123	131
103	a.m.	*	high_school_required	123	131
104	amateur	**	selective_required	123	131
105	amazing	*	high_school_required	123	131
106	ambition	**	selective_required	123	131
107	ambitious	**	selective_required	123	131
108	ambulance	**	selective_required	123	131
109	America		prior_to_high_school	123	131
110	American		prior_to_high_school	123	131
111	among		prior_to_high_school	123	131
112	amount	*	high_school_required	123	131
113	amuse	**	selective_required	123	131
114	analyse (analyze)	**	selective_required	123	131
115	ancestor	**	selective_required	123	131
116	ancient		prior_to_high_school	123	131
117	and		prior_to_high_school	123	131
118	anger	**	selective_required	123	131
119	angle	**	selective_required	123	131
120	angry		prior_to_high_school	123	131
121	animal		prior_to_high_school	123	131
122	ankle	**	selective_required	123	131
123	announce	*	high_school_required	123	131
124	annoy	**	selective_required	123	131
125	annual	*	high_school_required	123	131
126	another		prior_to_high_school	123	131
127	answer		prior_to_high_school	123	131
128	ant		prior_to_high_school	123	131
129	anticipate	**	selective_required	124	132
130	antique	**	selective_required	124	132
131	anxiety	**	selective_required	124	132
132	anxious	*	high_school_required	124	132
133	any		prior_to_high_school	124	132
134	anybody		prior_to_high_school	124	132
135	anyhow	**	selective_required	124	132
136	anyone		prior_to_high_school	124	132
137	anything		prior_to_high_school	124	132
138	anyway		prior_to_high_school	124	132
139	anywhere		prior_to_high_school	124	132
140	apart	**	selective_required	124	132
141	apartment	*	high_school_required	124	132
142	apologise (apologize)	*	high_school_required	124	132
143	apparently	**	selective_required	124	132
144	appeal	**	selective_required	124	132
145	appear		prior_to_high_school	124	132
146	appetite	**	selective_required	124	132
147	applaud	**	selective_required	124	132
148	apple		prior_to_high_school	124	132
149	applicant	**	selective_required	124	132
150	application	*	high_school_required	124	132
151	apply	*	high_school_required	124	132
152	appointment	**	selective_required	124	132
153	appreciate	**	selective_required	124	132
154	approach	*	high_school_required	124	132
155	appropriate	**	selective_required	124	132
156	approve	**	selective_required	124	132
157	April		prior_to_high_school	124	132
