document_id	pdf_page	printed_page	use	image_sha256
01-pronunciation	1	iii	canonical	d84ab9c7ab41e24d9ddb1005c1e46929599521d5c189984ed2033fd7d34d40dc
01-pronunciation	2	iv	canonical	9cfe5c7af88cfe41403de02ed77553eb5f5158feaa21b89400069d916bf4e8c9
01-pronunciation	3	1	canonical	3adeffd0759f7335ab6d7dbabedeed8ad90b5a9d88b54f6f789227a87e05a3dd
01-pronunciation	4	2	canonical	2087559d9ebeff74219b094f14a4cef728a8a4885e60dbe2b9fe9659bd79c184
01-pronunciation	5	3	canonical	262067ef9862c730fc7a32b6b4a5ae233dd51f2791db895cd77ba7140a5b055c
01-pronunciation	6	4	canonical	e1e1411d96898637ccdf99d4f758bdfa0fd3ecf912efbb54712d619cb64821d2
01-pronunciation	7	5	canonical	db3ff94fe1c062d08c7deaa35a2aa701411262e9bd9ce5167b5a08d69cc4fd8e
01-pronunciation	8	6	canonical	814af482e2f35f162ce44a8f5b9e4faebacb237dc2e30e8658a71c536599c64a
01-pronunciation	9	7	canonical	50b3a6c5775975c6173b2ed50ec5d00b67d379df9044e08463b8e4157ce8c957
01-pronunciation	10	8	canonical	1651e6cac483e0e3af8398cc8e52164d12ae641ac3471f6ad3d45ac933dd185b
01-pronunciation	11	9	canonical	8b9b804bde57af398ba926dd011b2093bbc33332658bb71edeb465355bc22662
01-pronunciation	12	10	canonical	682756b00cced0ddda9ad19cb95c3422b0796f7570f04786be46fc49e76bcf94
01-pronunciation	13	11	canonical	513e608e2b0043452efbbd7408752ffeeb95ef38f958c72a2796094212d755b0
01-pronunciation	14	12	canonical	354d6e4eb449f835ddb32266fa5c4e74049d5e6657ea582b3061b6ff925d85fa
01-pronunciation	15	13	canonical	1b049b757c55ae5b9ef734081eadd0eace3d1e62ddfec35aa324b321f4270a32
01-pronunciation	16	14	canonical	fd0dc9966357dfc21b3da2a55fc43a2260d60d27782001de4f5a5f534f22c017
02-vocabulary	1	15	canonical	7fba0e2254de5df5947f4d1a86be55a0ac09bb32b528d8bb4b81a4434e31fed6
02-vocabulary	2	16	canonical	793b359569177f66c7be03d3ae621977664c985f7a1caf6656a677a6527232b9
02-vocabulary	3	17	canonical	c6358cb4d2d6b737697bd36b8d02e45961cc234b87e8f7dbd755310221508b2e
02-vocabulary	4	18	canonical	2742b839fc95c6703aa5a5a32c3e0d78ed20506e46e13df2dba8fc88083e15a8
02-vocabulary	5	19	canonical	0dafbaa924b339014d1870c27df9a0961af80d293d500f3330bb30a99e5c4552
02-vocabulary	6	20	canonical	5abb160d9df0855cfb12b5f07a08d1f3095ffe9f3d4cbed6a49e35721def3594
02-vocabulary	7	21	duplicate_not_repeated	022afd6314808ec5e582cd95a5aa72d325cc56bca339aabf44566bbc9510fe18
